"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"443","3.7885338533004709E-1","6.9061360743092566E-24","9.1582372577465321E-1","-6.8861221721929087E-13","6.1322010058822263E-1","6.6544857028591439E-13","1.7736187379172801E+0","3.0791619024201049E+0","1.3648858736411171E+1","2.4455907232529100E+2","1.215058560962404E-2"
"444","3.8058988769184648E-1","7.2908720982552574E-24","9.1508178642970883E-1","-1.1765037336405574E-12","6.1148792357312975E-1","1.1540826328376510E-12","1.7770881349568901E+0","3.0789061060700802E+0","1.3647724879745812E+1","2.4393486167268301E+2","1.215058560962404E-2"
"445","3.8232545869957907E-1","-2.1307142283710091E-24","9.1433632359425199E-1","-1.3983498017413950E-12","6.0975670811400629E-1","1.3801359279007296E-12","1.7805558441897400E+0","3.0786488728531896E+0","1.3646584653947068E+1","2.4330874311967000E+2","1.215058560962404E-2"
"446","3.8406009322941165E-1","-1.4049582638117895E-24","9.1358733610219256E-1","-1.4370826992363220E-12","6.0802645944553024E-1","1.4222885538051944E-12","1.7840218564148100E+0","3.0783901924673924E+0","1.3645438013349555E+1","2.4268072913780000E+2","1.215058560962404E-2"
"447","3.8579378614727111E-1","-1.3059723777765616E-23","9.1283482278231542E-1","-1.3867908752980020E-12","6.0629718281401812E-1","1.3737775395951027E-12","1.7874861624171401E+0","3.0781300545160226E+0","1.3644284911868457E+1","2.4205083224527101E+2","1.215058560962404E-2"
"448","3.8752653230878698E-1","-3.0240431367700622E-24","9.1207878245827645E-1","-1.3945121106344259E-12","6.0456888347747662E-1","1.3859030214194622E-12","1.7909487529678600E+0","3.0778684485067580E+0","1.3643125302994937E+1","2.4141906500903099E+2","1.215058560962404E-2"
"449","3.8925832655924419E-1","1.4714256802936615E-23","9.1131921394859605E-1","-1.3438063405065810E-12","6.0284156670576516E-1","1.3374871935102576E-12","1.7944096188240299E+0","3.0776053638505529E+0","1.3641959139791426E+1","2.4078544004141600E+2","1.215058560962404E-2"
"450","3.9098916373351511E-1","-9.2721118880152477E-24","9.1055611606665599E-1","-1.2740045583738250E-12","6.0111523778054687E-1","1.2690595274283785E-12","1.7978687507286899E+0","3.0773407898606253E+0","1.3640786374887114E+1","2.4014997000306201E+2","1.215058560962404E-2"
"451","3.9271903865600943E-1","-2.0567559046524743E-24","9.0978948762069256E-1","-9.2296850343134147E-13","5.9938990199546749E-1","9.1470875616906265E-13","1.8013261394107400E+0","3.0770747157513556E+0","1.3639606960473087E+1","2.3951266760149801E+2","1.215058560962404E-2"
"452","3.9444794614058915E-1","-1.3229018542264703E-23","9.0901932741380176E-1","-8.6869881333461862E-13","5.9766556465598886E-1","8.6092192370610154E-13","1.8047817755851601E+0","3.0768071306372402E+0","1.3638420848297672E+1","2.3887354558967399E+2","1.215058560962404E-2"
"453","3.9617588099054740E-1","-9.3853682752094576E-25","9.0824563424391491E-1","-1.0962141153696214E-12","5.9594223107975719E-1","1.0970597668608262E-12","1.8082356499526000E+0","3.0765380235317745E+0","1.3637227989661502E+1","2.3823261676833400E+2","1.215058560962404E-2"
"454","3.9790283799855169E-1","1.1142551627831187E-23","9.0746840690379738E-1","-1.1118065182592221E-12","5.9421990659667112E-1","1.1154476979428757E-12","1.8116877531993800E+0","3.0762673833463583E+0","1.3636028335412652E+1","2.3758989398344599E+2","1.215058560962404E-2"
"455","3.9962881194654376E-1","5.0808551735655824E-24","9.0668764418105685E-1","-1.3058127441240913E-12","5.9249859654863024E-1","1.3161235585943939E-12","1.8151380759977800E+0","3.0759951988891769E+0","1.3634821835941677E+1","2.3694539012777801E+2","1.215058560962404E-2"
"456","4.0135379760573475E-1","1.6996186948304097E-24","9.0590334485811297E-1","-1.0146562280919269E-12","5.9077830629005157E-1","1.0195493504215059E-12","1.8185866090055500E+0","3.0757214588640256E+0","1.3633608441176413E+1","2.3629911814020701E+2","1.215058560962404E-2"
"457","4.0307778973648534E-1","-4.3812708436260936E-24","9.0511550771222105E-1","-8.5961742023195450E-13","5.8905904118741492E-1","8.6191320235710562E-13","1.8220333428663900E+0","3.0754461518692473E+0","1.3632388100577264E+1","2.3565109100478099E+2","1.215058560962404E-2"
"458","4.0480078308828982E-1","9.1152347410146952E-24","9.0432413151544211E-1","-1.0310190738188992E-12","5.8734080661972032E-1","1.0420713872631770E-12","1.8254782682095501E+0","3.0751692663964665E+0","1.3631160763131586E+1","2.3500132175149000E+2","1.215058560962404E-2"
"459","4.0652277239972306E-1","-2.7164606836540536E-24","9.0352921503463457E-1","-1.5122471913559530E-12","5.8562360797851021E-1","1.5459547276721409E-12","1.8289213756497900E+0","3.0748907908294854E+0","1.3629926377348793E+1","2.3434982345545299E+2","1.215058560962404E-2"
"460","4.0824375239838379E-1","-6.9317690535092473E-25","9.0273075703144745E-1","-1.1587617339083230E-12","5.8390745066817784E-1","1.1795958067059431E-12","1.8323626557871400E+0","3.0746107134430374E+0","1.3628684891254837E+1","2.3369660923709699E+2","1.215058560962404E-2"
"461","4.0996371780076513E-1","1.5567543607822365E-24","9.0192875626234059E-1","-1.1131183828763846E-12","5.8219234010521226E-1","1.1345321664417703E-12","1.8358020992077300E+0","3.0743290224016304E+0","1.3627436252387081E+1","2.3304169226216601E+2","1.215058560962404E-2"
"462","4.1168266331227943E-1","-1.9256760181194546E-24","9.0112321147854080E-1","-1.4709741469087315E-12","5.8047828171907778E-1","1.5142591160489313E-12","1.8392396964828901E+0","3.0740457057582340E+0","1.3626180407788475E+1","2.3238508574087200E+2","1.215058560962404E-2"
"463","4.1340058362719001E-1","1.0587916319780322E-24","9.0031412142604150E-1","-1.5495375967200525E-12","5.7876528095220869E-1","1.5984797607319212E-12","1.8426754381692001E+0","3.0737607514531500E+0","1.3624917304002549E+1","2.3172680292829000E+2","1.215058560962404E-2"
"464","4.1511747342850847E-1","-1.3582301178827517E-24","8.9950148484560288E-1","-1.1703123259767091E-12","5.7705334325979962E-1","1.2044695578777276E-12","1.8461093148087599E+0","3.0734741473126466E+0","1.3623646887067366E+1","2.3106685712385701E+2","1.215058560962404E-2"
"465","4.1683332738795237E-1","-2.2747462365856322E-24","8.9868530047274686E-1","-1.1505336339901865E-12","5.7534247410974482E-1","1.1861506821971110E-12","1.8495413169293200E+0","3.0731858810477592E+0","1.3622369102510202E+1","2.3040526167161201E+2","1.215058560962404E-2"
"466","4.1854814016588476E-1","2.6469784081024750E-24","8.9786556703774212E-1","-1.6869125456173901E-12","5.7363267898312154E-1","1.7565036281774868E-12","1.8529714350437601E+0","3.0728959402529537E+0","1.3621083895341618E+1","2.2974202995912199E+2","1.215058560962404E-2"
"467","4.2026190641131544E-1","4.2252390168983334E-24","8.9704228326556479E-1","-1.7476769279917203E-12","5.7192396337437956E-1","1.8249812026412075E-12","1.8563996596500201E+0","3.0726043124048399E+0","1.3619791210049758E+1","2.2907717541809299E+2","1.215058560962404E-2"
"468","4.2197462076171910E-1","-2.9629605061894030E-24","8.9621544787595175E-1","-1.7916042909511254E-12","5.7021633279081207E-1","1.8765492114105402E-12","1.8598259812316000E+0","3.0723109848608310E+0","1.3618490990594415E+1","2.2841071152456001E+2","1.215058560962404E-2"
"469","4.2368627784308954E-1","-2.0745501620311966E-24","8.9538505958332981E-1","-1.5099042862855138E-12","5.6850979275312774E-1","1.5805867338702731E-12","1.8632503902571400E+0","3.0720159448578155E+0","1.3617183180401135E+1","2.2774265179671099E+2","1.215058560962404E-2"
"470","4.2539687226978445E-1","-2.2532211743670136E-24","8.9455111709685364E-1","-1.8809173912932452E-12","5.6680434879507635E-1","1.9798128644388159E-12","1.8666728771807100E+0","3.0717191795107972E+0","1.3615867722355187E+1","2.2707300979703800E+2","1.215058560962404E-2"
"471","4.2710639864459427E-1","1.7983094659125640E-24","8.9371361912033220E-1","-1.2711967652955900E-12","5.6510000646440472E-1","1.3325730081888005E-12","1.8700934324410201E+0","3.0714206758114635E+0","1.3614544558795226E+1","2.2640179913102500E+2","1.215058560962404E-2"
"472","4.2881485155850418E-1","-1.9091140395711468E-24","8.9287256435230578E-1","-1.3429133361831019E-12","5.6339677132160026E-1","1.4117757730731594E-12","1.8735120464626600E+0","3.0711204206268801E+0","1.3613213631507501E+1","2.2572903344693199E+2","1.215058560962404E-2"
"473","4.3052222559079351E-1","-1.2341346597107354E-24","8.9202795148595226E-1","-1.6037645218944011E-12","5.6169464894119914E-1","1.6942771236705312E-12","1.8769287096548299E+0","3.0708184006979975E+0","1.3611874881719237E+1","2.2505472643578301E+2","1.215058560962404E-2"
"474","4.3222851530891143E-1","-1.3069265535881018E-24","8.9117977920910652E-1","-1.5644293904086543E-12","5.5999364491138492E-1","1.6580114668504956E-12","1.8803434124118501E+0","3.0705146026382373E+0","1.3610528250092363E+1","2.2437889183113299E+2","1.215058560962404E-2"
"475","4.3393371526839059E-1","4.0879454014864521E-24","8.9032804620426653E-1","-1.7624839494348460E-12","5.5829376483382742E-1","1.8768691036757335E-12","1.8837561451133400E+0","3.0702090129320618E+0","1.3609173676717182E+1","2.2370154340869200E+2","1.215058560962404E-2"
"476","4.3563782001282819E-1","-3.0903279542696906E-24","8.8947275114855384E-1","-2.1624959231134036E-12","5.5659501432412473E-1","2.3150764925536849E-12","1.8871668981238301E+0","3.0699016179334810E+0","1.3607811101105744E+1","2.2302269498637401E+2","1.215058560962404E-2"
"477","4.3734082407383656E-1","4.3873847832194296E-24","8.8861389271369606E-1","-1.8534917310686201E-12","5.5489739901196511E-1","1.9833849227871953E-12","1.8905756617926499E+0","3.0695924038645304E+0","1.3606440462185102E+1","2.2234236042387201E+2","1.215058560962404E-2"
"478","4.3904272197089622E-1","3.2392580930026642E-24","8.8775146956605322E-1","-1.8715907299997596E-12","5.5320092454055025E-1","2.0074258878257687E-12","1.8939824264545899E+0","3.0692813568138275E+0","1.3605061698290910E+1","2.2166055362275100E+2","1.215058560962404E-2"
"479","4.4074350821139019E-1","-6.4849078601221402E-25","8.8688548036656445E-1","-2.0205051751442233E-12","5.5150559656740294E-1","2.1782981486740984E-12","1.8973871824291300E+0","3.0689684627349716E+0","1.3603674747160341E+1","2.2097728852605999E+2","1.215058560962404E-2"
"480","4.4244317729052052E-1","2.5245740437617113E-24","8.8601592377073901E-1","-1.6588240911584172E-12","5.4981142076428258E-1","1.7851100361482034E-12","1.9007899200205800E+0","3.0686537074450300E+0","1.3602279545925366E+1","2.2029257911786499E+2","1.215058560962404E-2"
"481","4.4414172369119009E-1","-2.0480803824316303E-24","8.8514279842866517E-1","-1.5399348444887412E-12","5.4811840281683144E-1","1.6575655263571619E-12","1.9041906295185200E+0","3.0683370766229325E+0","1.3600876031105633E+1","2.1960643942324000E+2","1.215058560962404E-2"
"482","4.4583914188401763E-1","-2.7429120969537244E-24","8.8426610298496278E-1","-1.2628556497963403E-12","5.4642654842524507E-1","1.3584695230840555E-12","1.9075893011971501E+0","3.0680185558078947E+0","1.3599464138601494E+1","2.1891888350873199E+2","1.215058560962404E-2"
"483","4.4753542632720655E-1","-1.2275172147487777E-24","8.8338583607880528E-1","-1.5493098076276876E-12","5.4473586330383927E-1","1.6770443388643399E-12","1.9109859253158199E+0","3.0676981303978224E+0","1.3598043803686920E+1","2.1822992548077400E+2","1.215058560962404E-2"
"484","4.4923057146656664E-1","1.7734940476272141E-24","8.8250199634385207E-1","-1.4567234464514691E-12","5.4304635318176120E-1","1.5793685322631696E-12","1.9143804921184000E+0","3.0673757856476191E+0","1.3596614961002002E+1","2.1753957948645200E+2","1.215058560962404E-2"
"485","4.5092457173535111E-1","-1.4293492841565386E-24","8.8161458240828927E-1","-1.7901506095693558E-12","5.4135802380230091E-1","1.9540676818504274E-12","1.9177729918339701E+0","3.0670515066675410E+0","1.3595177544545662E+1","2.1684785971335600E+2","1.215058560962404E-2"
"486","4.5261742155429591E-1","1.8529033864484826E-24","8.8072359289476143E-1","-1.5720988457467987E-12","5.3967088092378768E-1","1.7185808436099690E-12","1.9211634146760601E+0","3.0667252784215542E+0","1.3593731487668368E+1","2.1615478038832100E+2","1.215058560962404E-2"
"487","4.5430911533146834E-1","1.4095345781561228E-24","8.7982902642039140E-1","-1.3014260316139241E-12","5.3798493031890504E-1","1.4213434240284611E-12","1.9245517508433900E+0","3.0663970857255638E+0","1.3592276723064279E+1","2.1546035577858899E+2","1.215058560962404E-2"
"488","4.5599964746223520E-1","-4.4038907668532186E-24","8.7893088159675770E-1","-1.5778670802672987E-12","5.3630017777512640E-1","1.7327760450759432E-12","1.9279379905194600E+0","3.0660669132457326E+0","1.3590813182763808E+1","2.1476460019069600E+2","1.215058560962404E-2"
"489","4.5768901232924797E-1","7.3455519832580412E-25","8.7802915702984319E-1","-1.5964100829351070E-12","5.3461662909511565E-1","1.7573723161492025E-12","1.9313221238722700E+0","3.0657347454966870E+0","1.3589340798125653E+1","2.1406752797055199E+2","1.215058560962404E-2"
"490","4.5937720430229717E-1","-4.4535216035864187E-24","8.7712385132006288E-1","-2.0869364020912999E-12","5.3293429009615834E-1","2.3116983167347380E-12","1.9347041410549599E+0","3.0654005668397954E+0","1.3587859499829175E+1","2.1336915350300501E+2","1.215058560962404E-2"
"491","4.6106421773834216E-1","-2.6105631987738323E-24","8.7621496306219293E-1","-1.9092825598125415E-12","5.3125316661101618E-1","2.1187470211832097E-12","1.9380840322050199E+0","3.0650643614812823E+0","1.3586369217866032E+1","2.1266949121194600E+2","1.215058560962404E-2"
"492","4.6275004698134786E-1","3.8383061864020194E-25","8.7530249084540501E-1","-1.6215976850319252E-12","5.2957326448721098E-1","1.8000335641387680E-12","1.9414617874450799E+0","3.0647261134704697E+0","1.3584869881532397E+1","2.1196855555939101E+2","1.215058560962404E-2"
"493","4.6443468636228430E-1","-2.4054224068911111E-24","8.7438643325320975E-1","-1.2770915729426040E-12","5.2789458958760382E-1","1.4130653158854898E-12","1.9448373968824100E+0","3.0643858066979019E+0","1.3583361419420619E+1","2.1126636104623401E+2","1.215058560962404E-2"
"494","4.6611813019903203E-1","9.7278321478660026E-25","8.7346678886345741E-1","-1.4546436299481858E-12","5.2621714779025164E-1","1.6187693397100190E-12","1.9482108506091500E+0","3.0640434248934616E+0","1.3581843759410910E+1","2.1056292221184799E+2","1.215058560962404E-2"
"495","4.6780037279637321E-1","-2.7958516560234587E-24","8.7254355624827840E-1","-1.4933535026383314E-12","5.2454094498891191E-1","1.6668354576056523E-12","1.9515821387018999E+0","3.0636989516244655E+0","1.3580316828662870E+1","2.0985825363239601E+2","1.215058560962404E-2"
"496","4.6948140844586400E-1","3.6660832892452232E-24","8.7161673397410389E-1","-1.3772423121812944E-12","5.2286598709267607E-1","1.5397283042266176E-12","1.9549512512221701E+0","3.0633523702937286E+0","1.3578780553606926E+1","2.0915236992297500E+2","1.215058560962404E-2"
"497","4.7116123142578326E-1","-2.5410800273654077E-24","8.7068632060162787E-1","-1.6148341817714276E-12","5.2119228002612095E-1","1.8144104603322672E-12","1.9583181782162700E+0","3.0630036641376424E+0","1.3577234859935801E+1","2.0844528573520901E+2","1.215058560962404E-2"
"498","4.7283983600112284E-1","2.9844864644815348E-24","8.6975231468576142E-1","-1.0631254696120758E-12","5.1951982972985633E-1","1.1872440873912545E-12","1.9616829097149500E+0","3.0626528162241358E+0","1.3575679672595490E+1","2.0773701575848199E+2","1.215058560962404E-2"
"499","4.7451721642340039E-1","-1.7536040842230142E-24","8.6881471477566385E-1","-1.7624691339195146E-12","5.1784864215954218E-1","1.9882598988542016E-12","1.9650454357343199E+0","3.0622998094506872E+0","1.3574114915776430E+1","2.0702757471913699E+2","1.215058560962404E-2"
"500","4.7619336693075293E-1","-3.0107492860897916E-25","8.6787351941465107E-1","-2.0287022236107632E-12","5.1617872328758119E-1","2.2981804045294250E-12","1.9684057462744200E+0","3.0619446265423047E+0","1.3572540512904569E+1","2.0631697737946601E+2","1.215058560962404E-2"
